written_utc,animal,session,firmware,window_s,probe,xml,perm,sp_adj,sp_within,sp_between,sp_contrast,sp_rows,lfp_adj,lfp_within,lfp_between,lfp_contrast,hp_adj,hp_within,hp_between,hp_contrast,dead_cols
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,identity,1.61,1.53,1.47,0.14,38,0.976,0.963,0.933,0.044,0.207,0.194,0.159,0.048,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,identity,1.52,1.55,1.47,0.05,38,0.968,0.964,0.933,0.035,0.198,0.195,0.159,0.038,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57fix,1.6,1.53,1.47,0.13,38,0.982,0.963,0.933,0.05,0.221,0.193,0.159,0.062,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57fix,1.53,1.54,1.47,0.06,38,0.966,0.965,0.933,0.033,0.195,0.197,0.159,0.036,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57inv,1.6,1.53,1.47,0.13,38,0.978,0.962,0.933,0.045,0.211,0.191,0.16,0.051,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57inv,1.52,1.55,1.47,0.05,38,0.964,0.964,0.933,0.032,0.198,0.193,0.16,0.038,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap,1.57,1.5,1.48,0.08,38,0.967,0.961,0.934,0.034,0.184,0.181,0.164,0.02,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap,1.49,1.51,1.48,0.01,38,0.957,0.962,0.934,0.023,0.178,0.182,0.164,0.014,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv,1.48,1.52,1.48,0.0,38,0.959,0.961,0.934,0.025,0.175,0.178,0.165,0.01,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv,1.56,1.5,1.48,0.08,38,0.97,0.96,0.934,0.036,0.177,0.178,0.165,0.012,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap+v57fix,1.55,1.5,1.48,0.07,38,0.965,0.961,0.934,0.032,0.187,0.18,0.164,0.023,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap+v57fix,1.5,1.51,1.48,0.02,38,0.959,0.962,0.934,0.025,0.179,0.182,0.164,0.015,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv+v57fix,1.49,1.51,1.48,0.01,38,0.956,0.961,0.934,0.022,0.176,0.178,0.165,0.012,
2026-09-03T05:32:11+00:00,SF07,2_20260901_002100.939,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv+v57fix,1.53,1.51,1.48,0.05,38,0.966,0.96,0.934,0.032,0.174,0.179,0.165,0.009,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,identity,1.76,1.72,1.47,0.29,11,0.981,0.973,0.955,0.026,0.727,0.72,0.705,0.022,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,identity,1.57,1.75,1.47,0.1,11,0.976,0.974,0.955,0.021,0.721,0.72,0.705,0.016,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57fix,1.76,1.72,1.47,0.29,11,0.985,0.973,0.955,0.03,0.733,0.719,0.705,0.028,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57fix,1.57,1.75,1.47,0.1,11,0.974,0.974,0.955,0.019,0.719,0.721,0.705,0.014,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57inv,1.76,1.72,1.47,0.29,11,0.982,0.973,0.955,0.027,0.729,0.719,0.705,0.024,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57inv,1.57,1.75,1.47,0.1,11,0.974,0.974,0.955,0.019,0.721,0.72,0.705,0.016,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap,2.36,1.59,1.65,0.71,11,0.976,0.97,0.956,0.02,0.718,0.718,0.706,0.012,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap,1.5,1.77,1.65,-0.15,11,0.969,0.971,0.956,0.013,0.715,0.718,0.706,0.009,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv,1.57,1.85,1.59,-0.02,11,0.969,0.971,0.956,0.012,0.713,0.713,0.708,0.006,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv,2.33,1.76,1.59,0.74,11,0.975,0.97,0.956,0.019,0.713,0.713,0.708,0.006,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap+v57fix,2.36,1.59,1.65,0.71,11,0.974,0.971,0.956,0.018,0.72,0.717,0.706,0.014,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap+v57fix,1.5,1.77,1.65,-0.15,11,0.97,0.971,0.956,0.014,0.715,0.718,0.706,0.008,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv+v57fix,1.57,1.85,1.59,-0.02,11,0.968,0.971,0.956,0.012,0.712,0.714,0.708,0.004,
2026-09-03T05:33:17+00:00,SF07,10_20260901_234332.691,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv+v57fix,2.33,1.76,1.59,0.74,11,0.974,0.97,0.956,0.017,0.711,0.714,0.708,0.004,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,identity,1.95,1.72,1.5,0.45,14,0.979,0.967,0.942,0.037,0.392,0.381,0.357,0.035,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,identity,1.63,1.77,1.5,0.13,14,0.972,0.969,0.942,0.03,0.386,0.382,0.357,0.029,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57fix,1.95,1.72,1.5,0.45,14,0.985,0.967,0.942,0.043,0.402,0.381,0.357,0.045,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57fix,1.63,1.77,1.5,0.13,14,0.97,0.969,0.942,0.028,0.384,0.383,0.357,0.027,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57inv,1.95,1.72,1.5,0.45,14,0.981,0.967,0.942,0.039,0.395,0.379,0.357,0.037,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57inv,1.63,1.77,1.5,0.13,14,0.969,0.969,0.942,0.027,0.385,0.381,0.357,0.027,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap,1.88,1.67,1.56,0.32,14,0.971,0.965,0.943,0.028,0.375,0.373,0.36,0.015,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap,1.57,1.74,1.56,0.01,14,0.962,0.967,0.943,0.019,0.371,0.374,0.36,0.011,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv,1.68,1.67,1.58,0.1,14,0.963,0.966,0.943,0.02,0.367,0.37,0.361,0.006,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv,1.89,1.64,1.58,0.31,14,0.973,0.965,0.943,0.029,0.368,0.37,0.361,0.008,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap+v57fix,1.88,1.67,1.56,0.32,14,0.97,0.966,0.943,0.027,0.378,0.373,0.36,0.018,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap+v57fix,1.57,1.74,1.56,0.01,14,0.964,0.966,0.943,0.021,0.371,0.373,0.36,0.012,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv+v57fix,1.68,1.67,1.58,0.1,14,0.961,0.966,0.943,0.018,0.369,0.37,0.361,0.008,
2026-09-03T05:34:25+00:00,SF07,15_20260902_082418.755,65,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv+v57fix,1.89,1.63,1.58,0.31,14,0.969,0.965,0.943,0.026,0.367,0.371,0.361,0.006,
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version1.xml,identity,1.82,1.64,1.55,0.27,54,0.777,0.781,0.65,0.127,0.464,0.473,0.443,0.021,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version2.xml,identity,1.56,1.79,1.54,0.01,54,0.772,0.764,0.653,0.119,0.453,0.467,0.445,0.007,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version1.xml,v57fix,1.7,1.7,1.55,0.16,54,0.741,0.754,0.657,0.084,0.46,0.472,0.444,0.016,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version2.xml,v57fix,1.84,1.96,1.5,0.34,54,0.776,0.792,0.648,0.128,0.477,0.483,0.44,0.037,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version1.xml,v57inv,1.6,1.67,1.56,0.04,54,0.761,0.715,0.663,0.099,0.453,0.465,0.445,0.008,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version2.xml,v57inv,1.68,1.8,1.53,0.14,54,0.814,0.789,0.645,0.169,0.466,0.475,0.443,0.024,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version1.xml,wildmap,1.76,1.61,1.56,0.2,54,0.761,0.771,0.654,0.108,0.464,0.461,0.445,0.018,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version2.xml,wildmap,1.49,1.62,1.58,-0.08,54,0.764,0.748,0.657,0.107,0.453,0.456,0.447,0.006,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version1.xml,wildmap_inv,1.78,1.63,1.56,0.22,54,0.792,0.771,0.651,0.14,0.467,0.46,0.445,0.022,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version2.xml,wildmap_inv,1.56,1.56,1.58,-0.02,54,0.776,0.741,0.657,0.119,0.453,0.456,0.447,0.006,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version1.xml,wildmap+v57fix,1.52,1.61,1.58,-0.05,54,0.771,0.768,0.653,0.117,0.451,0.461,0.446,0.005,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version2.xml,wildmap+v57fix,1.62,1.67,1.56,0.06,54,0.776,0.75,0.656,0.12,0.456,0.466,0.445,0.01,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version1.xml,wildmap_inv+v57fix,1.5,1.62,1.58,-0.07,54,0.77,0.771,0.653,0.117,0.448,0.459,0.447,0.001,2 4 32 36 54 56 58 62
2026-09-03T05:35:42+00:00,SF09,3_20260831_190834.640,64,120.0,A5x12_16-Buz_lin-5mm-100-200-160_177,A5x12_16-Buz_lin-5mm-100-200-160_177_version2.xml,wildmap_inv+v57fix,1.71,1.58,1.57,0.14,54,0.791,0.715,0.66,0.131,0.461,0.459,0.446,0.015,2 4 32 36 54 56 58 62
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,identity,1.5,1.55,1.46,0.04,55,0.728,0.754,0.748,-0.019,0.637,0.637,0.612,0.025,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,identity,1.54,1.54,1.46,0.07,55,0.781,0.746,0.748,0.034,0.642,0.637,0.612,0.03,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57fix,1.5,1.55,1.46,0.04,55,0.748,0.751,0.748,0.0,0.637,0.638,0.612,0.025,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57fix,1.5,1.55,1.46,0.04,55,0.772,0.747,0.748,0.024,0.639,0.638,0.612,0.027,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57inv,1.5,1.55,1.46,0.04,55,0.751,0.756,0.746,0.005,0.637,0.637,0.612,0.025,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57inv,1.54,1.54,1.46,0.08,55,0.78,0.752,0.746,0.034,0.643,0.636,0.612,0.031,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap,1.47,1.5,1.48,-0.01,55,0.75,0.753,0.747,0.003,0.628,0.63,0.614,0.014,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap,1.48,1.49,1.48,0.01,55,0.75,0.753,0.747,0.003,0.626,0.63,0.614,0.011,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv,1.47,1.49,1.48,-0.01,55,0.822,0.751,0.745,0.077,0.626,0.625,0.616,0.011,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv,1.47,1.49,1.48,-0.01,55,0.731,0.764,0.745,-0.014,0.624,0.626,0.616,0.008,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap+v57fix,1.47,1.5,1.48,-0.01,55,0.718,0.755,0.748,-0.029,0.624,0.63,0.615,0.01,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap+v57fix,1.48,1.5,1.48,0.0,55,0.749,0.751,0.748,0.002,0.627,0.629,0.615,0.012,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv+v57fix,1.49,1.48,1.48,0.01,55,0.813,0.752,0.745,0.069,0.623,0.626,0.615,0.008,32
2026-09-03T05:36:50+00:00,SF08,1_20260831_190229.919,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv+v57fix,1.51,1.48,1.48,0.03,55,0.773,0.758,0.745,0.028,0.629,0.626,0.615,0.013,32
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,identity,1.56,1.64,1.47,0.09,63,0.899,0.896,0.875,0.025,0.154,0.168,0.1,0.054,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,identity,1.65,1.63,1.47,0.18,63,0.906,0.895,0.875,0.031,0.184,0.164,0.1,0.084,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57fix,1.62,1.64,1.47,0.15,63,0.91,0.895,0.874,0.035,0.169,0.169,0.099,0.07,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57fix,1.61,1.64,1.47,0.14,63,0.911,0.895,0.874,0.037,0.177,0.168,0.099,0.077,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57inv,1.64,1.6,1.48,0.17,63,0.896,0.896,0.875,0.021,0.16,0.161,0.102,0.058,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57inv,1.59,1.6,1.48,0.12,63,0.897,0.896,0.875,0.022,0.175,0.159,0.102,0.073,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap,1.53,1.56,1.49,0.04,63,0.865,0.879,0.88,-0.015,0.123,0.14,0.109,0.014,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap,1.55,1.55,1.49,0.06,63,0.869,0.879,0.88,-0.011,0.137,0.138,0.109,0.028,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv,1.53,1.55,1.49,0.03,63,0.873,0.88,0.88,-0.007,0.137,0.135,0.11,0.027,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv,1.5,1.55,1.49,0.01,63,0.902,0.876,0.88,0.022,0.133,0.136,0.11,0.023,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap+v57fix,1.5,1.58,1.49,0.01,63,0.876,0.878,0.881,-0.004,0.117,0.14,0.109,0.008,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap+v57fix,1.66,1.55,1.49,0.17,63,0.876,0.878,0.881,-0.004,0.138,0.137,0.109,0.029,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv+v57fix,1.53,1.55,1.49,0.04,63,0.867,0.883,0.879,-0.012,0.131,0.137,0.11,0.021,2 32 34 56
2026-09-03T05:37:59+00:00,SF10,2_20260831_195630.973,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv+v57fix,1.48,1.56,1.49,-0.01,63,0.889,0.88,0.879,0.01,0.124,0.138,0.11,0.015,2 32 34 56
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,identity,1.68,1.55,1.45,0.24,53,0.947,0.941,0.935,0.012,0.595,0.589,0.566,0.028,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,identity,1.53,1.57,1.45,0.08,53,0.949,0.941,0.935,0.014,0.597,0.589,0.566,0.031,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57fix,1.65,1.56,1.44,0.21,53,0.945,0.941,0.935,0.01,0.595,0.59,0.566,0.029,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57fix,1.59,1.56,1.44,0.15,53,0.947,0.941,0.935,0.012,0.598,0.59,0.566,0.032,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,v57inv,1.66,1.54,1.45,0.21,53,0.944,0.942,0.935,0.009,0.594,0.588,0.566,0.028,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,v57inv,1.64,1.55,1.45,0.19,53,0.953,0.941,0.935,0.018,0.604,0.587,0.566,0.038,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap,1.53,1.48,1.47,0.06,53,0.947,0.941,0.935,0.012,0.584,0.583,0.568,0.016,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap,1.48,1.48,1.47,0.01,53,0.943,0.941,0.935,0.008,0.584,0.583,0.568,0.016,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv,1.53,1.5,1.47,0.07,53,0.948,0.941,0.935,0.013,0.583,0.579,0.569,0.013,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap_inv,1.54,1.5,1.47,0.07,53,0.947,0.941,0.935,0.012,0.577,0.58,0.569,0.008,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap+v57fix,1.45,1.49,1.47,-0.02,53,0.942,0.941,0.935,0.007,0.58,0.583,0.568,0.012,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300_reversed.xml,wildmap+v57fix,1.54,1.48,1.47,0.06,53,0.945,0.941,0.935,0.01,0.587,0.582,0.568,0.019,
2026-09-03T05:39:07+00:00,SF11,1_20260831_191341.611,64,120.0,A4x16-Lin-5mm-50s-300,A4x16-Lin-5mm-50s-300.xml,wildmap_inv+v57fix,1.45,1.51,1.47,-0.01,53,0.943,0.942,0.935,0.008,0.578,0.581,0.569,0.008,
